lft_src,etngrp_src,oplniv_src,lft_dst,etngrp_dst,oplniv_dst,n
"[0,20)",Marokkaans,2,"[50,60)",Overig,1,340
"[0,20)",Marokkaans,2,"[50,60)",Overig,2,320
"[0,20)",Marokkaans,2,"[50,60)",Overig,3,220
"[0,20)",Marokkaans,2,"[50,60)",Surinaams,1,160
"[0,20)",Marokkaans,2,"[50,60)",Surinaams,2,150
"[0,20)",Marokkaans,2,"[50,60)",Surinaams,3,20
"[0,20)",Marokkaans,2,"[50,60)",Turks,1,340
"[0,20)",Marokkaans,2,"[50,60)",Turks,2,60
"[0,20)",Marokkaans,2,"[60,70)",Autochtoon,1,310
"[0,20)",Marokkaans,2,"[60,70)",Autochtoon,2,180
"[0,20)",Marokkaans,2,"[60,70)",Autochtoon,3,210
"[0,20)",Marokkaans,2,"[60,70)",Marokkaans,1,460
"[0,20)",Marokkaans,2,"[60,70)",Overig,1,230
"[0,20)",Marokkaans,2,"[60,70)",Overig,2,240
"[0,20)",Marokkaans,2,"[60,70)",Overig,3,80
"[0,20)",Marokkaans,2,"[60,70)",Surinaams,1,60
"[0,20)",Marokkaans,2,"[60,70)",Surinaams,2,160
"[0,20)",Marokkaans,2,"[60,70)",Turks,1,270
"[0,20)",Marokkaans,2,"[70,80)",Autochtoon,1,190
"[0,20)",Marokkaans,2,"[70,80)",Marokkaans,1,180
"[0,20)",Marokkaans,2,"[70,80)",Overig,1,150
"[0,20)",Marokkaans,2,"[70,80)",Turks,1,40
"[0,20)",Overig,1,"[0,20)",Autochtoon,1,88160
"[0,20)",Overig,1,"[0,20)",Autochtoon,2,5730
"[0,20)",Overig,1,"[0,20)",Autochtoon,3,10
"[0,20)",Overig,1,"[0,20)",Marokkaans,1,33720
"[0,20)",Overig,1,"[0,20)",Marokkaans,2,1490
"[0,20)",Overig,1,"[0,20)",Overig,1,90620
"[0,20)",Overig,1,"[0,20)",Overig,2,3660
"[0,20)",Overig,1,"[0,20)",Overig,3,40
"[0,20)",Overig,1,"[0,20)",Surinaams,1,20610
