etngrp_src,geslacht_src,lft_src,etngrp_dst,geslacht_dst,lft_dst,n
Autochtoon,Vrouw,"[0,20)",Surinaams,Man,"[40,50)",1000
Autochtoon,Vrouw,"[0,20)",Surinaams,Man,"[50,60)",650
Autochtoon,Vrouw,"[0,20)",Surinaams,Man,"[60,70)",470
Autochtoon,Vrouw,"[0,20)",Surinaams,Man,"[70,80)",60
Autochtoon,Vrouw,"[0,20)",Surinaams,Vrouw,"[0,20)",1450
Autochtoon,Vrouw,"[0,20)",Surinaams,Vrouw,"[20,30)",1780
Autochtoon,Vrouw,"[0,20)",Surinaams,Vrouw,"[30,40)",2470
Autochtoon,Vrouw,"[0,20)",Surinaams,Vrouw,"[40,50)",1460
Autochtoon,Vrouw,"[0,20)",Surinaams,Vrouw,"[50,60)",1150
Autochtoon,Vrouw,"[0,20)",Surinaams,Vrouw,"[60,70)",900
Autochtoon,Vrouw,"[0,20)",Surinaams,Vrouw,"[70,80)",130
Autochtoon,Vrouw,"[0,20)",Turks,Man,"[0,20)",1140
