etngrp_src,geslacht_src,oplniv_src,etngrp_dst,geslacht_dst,oplniv_dst,n
Overig,Vrouw,1,Autochtoon,Man,1,153580
Overig,Vrouw,1,Autochtoon,Man,2,23670
Overig,Vrouw,1,Autochtoon,Man,3,22660
Overig,Vrouw,1,Autochtoon,Vrouw,1,161880
Overig,Vrouw,1,Autochtoon,Vrouw,2,29790
Overig,Vrouw,1,Autochtoon,Vrouw,3,32690
Overig,Vrouw,1,Marokkaans,Man,1,68170
Overig,Vrouw,1,Marokkaans,Man,2,8400
Overig,Vrouw,1,Marokkaans,Man,3,1620
Overig,Vrouw,1,Marokkaans,Vrouw,1,73640
Overig,Vrouw,1,Marokkaans,Vrouw,2,17240
Overig,Vrouw,1,Marokkaans,Vrouw,3,2750
Overig,Vrouw,1,Overig,Man,1,168200
Overig,Vrouw,1,Overig,Man,2,29970
Overig,Vrouw,1,Overig,Man,3,20470
Overig,Vrouw,1,Overig,Vrouw,1,193500
Overig,Vrouw,1,Overig,Vrouw,2,43060
Overig,Vrouw,1,Overig,Vrouw,3,19960
Overig,Vrouw,1,Surinaams,Man,1,42990
Overig,Vrouw,1,Surinaams,Man,2,14000
Overig,Vrouw,1,Surinaams,Man,3,2000
Overig,Vrouw,1,Surinaams,Vrouw,1,50060
Overig,Vrouw,1,Surinaams,Vrouw,2,21900
Overig,Vrouw,1,Surinaams,Vrouw,3,3930
Overig,Vrouw,1,Turks,Man,1,28070
Overig,Vrouw,1,Turks,Man,2,5890
Overig,Vrouw,1,Turks,Man,3,1110
Overig,Vrouw,1,Turks,Vrouw,1,33290
Overig,Vrouw,1,Turks,Vrouw,2,6960
Overig,Vrouw,1,Turks,Vrouw,3,930
Overig,Vrouw,2,Autochtoon,Man,1,30010
Overig,Vrouw,2,Autochtoon,Man,2,117820
Overig,Vrouw,2,Autochtoon,Man,3,108630
Overig,Vrouw,2,Autochtoon,Vrouw,1,30630
Overig,Vrouw,2,Autochtoon,Vrouw,2,179170
Overig,Vrouw,2,Autochtoon,Vrouw,3,143390
Overig,Vrouw,2,Marokkaans,Man,1,18460
Overig,Vrouw,2,Marokkaans,Man,2,17810
Overig,Vrouw,2,Marokkaans,Man,3,4320
Overig,Vrouw,2,Marokkaans,Vrouw,1,14220
Overig,Vrouw,2,Marokkaans,Vrouw,2,33090
Overig,Vrouw,2,Marokkaans,Vrouw,3,6610
Overig,Vrouw,2,Overig,Man,1,40710
Overig,Vrouw,2,Overig,Man,2,99750
Overig,Vrouw,2,Overig,Man,3,71990
Overig,Vrouw,2,Overig,Vrouw,1,41230
