etngrp_src,lft_src,etngrp_dst,lft_dst,n
Autochtoon,"[50,60)",Marokkaans,"[30,40)",33030
Autochtoon,"[50,60)",Marokkaans,"[40,50)",34520
Autochtoon,"[50,60)",Marokkaans,"[50,60)",15620
Autochtoon,"[50,60)",Marokkaans,"[60,70)",2490
Autochtoon,"[50,60)",Overig,"[0,20)",8280
Autochtoon,"[50,60)",Overig,"[20,30)",76910
Autochtoon,"[50,60)",Overig,"[30,40)",150610
Autochtoon,"[50,60)",Overig,"[40,50)",95390
Autochtoon,"[50,60)",Overig,"[50,60)",96030
Autochtoon,"[50,60)",Overig,"[60,70)",38300
Autochtoon,"[50,60)",Overig,"[70,80)",140
Autochtoon,"[50,60)",Surinaams,"[0,20)",3690
Autochtoon,"[50,60)",Surinaams,"[20,30)",21540
Autochtoon,"[50,60)",Surinaams,"[30,40)",32130
Autochtoon,"[50,60)",Surinaams,"[40,50)",31700
Autochtoon,"[50,60)",Surinaams,"[50,60)",46060
Autochtoon,"[50,60)",Surinaams,"[60,70)",19930
Autochtoon,"[50,60)",Surinaams,"[70,80)",20
Autochtoon,"[50,60)",Turks,"[0,20)",2720
Autochtoon,"[50,60)",Turks,"[20,30)",13230
Autochtoon,"[50,60)",Turks,"[30,40)",16410
Autochtoon,"[50,60)",Turks,"[40,50)",14130
Autochtoon,"[50,60)",Turks,"[50,60)",13180
Autochtoon,"[50,60)",Turks,"[60,70)",1220
Autochtoon,"[60,70)",Autochtoon,"[0,20)",3620
Autochtoon,"[60,70)",Autochtoon,"[20,30)",84910
Autochtoon,"[60,70)",Autochtoon,"[30,40)",115720
Autochtoon,"[60,70)",Autochtoon,"[40,50)",106620
Autochtoon,"[60,70)",Autochtoon,"[50,60)",149740
Autochtoon,"[60,70)",Autochtoon,"[60,70)",84780
Autochtoon,"[60,70)",Autochtoon,"[70,80)",3120
Autochtoon,"[60,70)",Marokkaans,"[0,20)",3010
Autochtoon,"[60,70)",Marokkaans,"[20,30)",13890
Autochtoon,"[60,70)",Marokkaans,"[30,40)",16890
Autochtoon,"[60,70)",Marokkaans,"[40,50)",14490
Autochtoon,"[60,70)",Marokkaans,"[50,60)",7250
Autochtoon,"[60,70)",Marokkaans,"[60,70)",1600
Autochtoon,"[60,70)",Overig,"[0,20)",3100
Autochtoon,"[60,70)",Overig,"[20,30)",40510
Autochtoon,"[60,70)",Overig,"[30,40)",41500
Autochtoon,"[60,70)",Overig,"[40,50)",43470
Autochtoon,"[60,70)",Overig,"[50,60)",50380
Autochtoon,"[60,70)",Overig,"[60,70)",23460
Autochtoon,"[60,70)",Overig,"[70,80)",300
Autochtoon,"[60,70)",Surinaams,"[0,20)",1030
